,fit,vac,mse,rmse,mae,aic,bic,model,group
0,all_BR,0.1320169472137076,0.1373188715151866,0.33048517085964046,0.37056561027055196,-9293.75828794601,-9235.679597193046,BR,all
1,cocaine_BR,0.11784315975881432,0.1396662124924731,0.334281632726824,0.3737194301778717,-4956.3992462317465,-4903.886153265253,BR,cocaine
2,control_BR,0.11890206089845712,0.13204095817706013,0.32116933782948354,0.3633744049559079,-4361.3030584054895,-4310.189795571912,BR,control
3,ind_BR,0.3221724016648154,0.06466431637166978,0.1837857752673746,0.2542917937560506,-261.3316669095707,-237.70691159001225,BR,cocaine
4,ind_BR,0.004477625334512347,0.16308398538150853,0.3709345470944532,0.4038365825200938,-197.805305612541,-172.79319417453723,BR,cocaine
5,ind_BR,0.34236739653394344,0.060024595188293964,0.20441956220568586,0.24499917385226824,-356.12911716625786,-330.1159750122621,BR,cocaine
6,ind_BR,0.4766683118160824,0.11074433179492951,0.25971255449505765,0.33278270957928313,-263.6679745981268,-237.99970222285026,BR,cocaine
7,ind_BR,0.6165983554695417,0.06216669084631195,0.17968533520837715,0.2493324905549053,-270.9053377202444,-247.10581962797204,BR,cocaine
8,ind_BR,0.222859856372445,0.12300171538490931,0.31431789675285543,0.350716003890483,-206.22459659123658,-182.16913708107944,BR,cocaine
9,ind_BR,0.1751039962310157,0.05655539791750908,0.19302488654465333,0.23781378832504452,-338.19429375852974,-312.8117596680844,BR,cocaine
10,ind_BR,0.5226650701339437,0.10122599639779423,0.2477311710833217,0.3181603312762203,-233.94396410876232,-209.63964081663056,BR,cocaine
11,ind_BR,0.3715851387323351,0.08224114484514664,0.2375110706582436,0.286777169323408,-261.787150338052,-237.32066049639616,BR,cocaine
12,ind_BR,0.1508027412399091,0.08862096265555369,0.25038509891559085,0.2976927319494947,-248.5725535588545,-224.26823026672275,BR,cocaine
13,ind_BR,0.6019955945705464,0.07227543907130259,0.22811638291392963,0.26884091777722857,-292.017968098479,-267.081806478288,BR,cocaine
14,ind_BR,0.4316682575133801,0.07060193940638725,0.22260282991622532,0.26571025461277786,-239.1176734579371,-215.94527465140663,BR,cocaine
15,ind_BR,0.8689585932818984,0.027661552654041858,0.11911987261278065,0.16631762580689352,-351.5343175392263,-327.8217566451596,BR,cocaine
16,ind_BR,0.48332969693772965,0.07725359456872434,0.21215292555079665,0.27794530859275957,-284.158096253039,-259.221934632848,BR,cocaine
17,ind_BR,0.4845499636696079,0.031908395380372476,0.13943940071600755,0.1786292120017677,-367.82724608383296,-343.3607562421771,BR,cocaine
18,ind_BR,0.2586848357010183,0.08916536106609324,0.21717516846657597,0.2986056949659421,-235.81257758543464,-211.9269344340169,BR,cocaine
19,ind_BR,0.254053383849438,0.10974778949664601,0.28948025410531686,0.33128203920020477,-238.31016274487746,-213.52785102492018,BR,cocaine
