,fit,vac,mse,rmse,mae,depth,ests,group
0,RF,0.9593488016863726,0.0037844971428571414,0.06151826674132766,0.0401752380952381,10,10,cocaine
1,RF,0.9374999933187301,0.01014200714285714,0.10070753270166607,0.05752142857142858,10,10,cocaine
2,RF,0.9076883530067578,0.009140892857142856,0.09560801669913907,0.05740714285714285,10,10,cocaine
3,RF,0.9519030195639202,0.009902385714285712,0.09951073165385586,0.04451428571428574,10,10,cocaine
4,RF,0.9653633700615307,0.005567042857142857,0.07461261861872197,0.0351857142857143,10,10,cocaine
5,RF,0.9742706287101417,0.003693285714285715,0.060772409153214545,0.03165714285714287,10,10,cocaine
6,RF,0.96582002285255,0.0025601980000000005,0.05059839918416392,0.03464142857142857,10,10,cocaine
7,RF,0.9376140378584521,0.013148471428571425,0.11466678432995069,0.05568571428571433,10,10,cocaine
8,RF,0.9289274459235138,0.009122292857142856,0.09551069498827268,0.06285,10,10,cocaine
9,RF,0.9112615976833585,0.009432647230158731,0.0971218164479986,0.05474642857142857,10,10,cocaine
10,RF,0.9847831193142381,0.0027282608571428573,0.05223275655317128,0.023001428571428607,10,10,cocaine
11,RF,0.9347744781432596,0.007995561111111112,0.08941790151368523,0.05001190476190476,10,10,cocaine
12,RF,0.9999977182732728,5.071428571428561e-07,0.0007121396331779717,0.0001785714285715022,10,10,cocaine
13,RF,0.9791434142260603,0.002859928571428571,0.053478300005035416,0.026857142857142906,10,10,cocaine
14,RF,0.9608168611018004,0.0026433777142857136,0.05141378914538116,0.034388571428571414,10,10,cocaine
15,RF,0.8830566349595517,0.015206849206349205,0.12331605413063298,0.06059523809523809,10,10,cocaine
16,RF,0.971194102528615,0.004199828571428572,0.06480608437043987,0.04264285714285715,10,10,cocaine
17,RF,0.9368981623261731,0.013401657142857142,0.11576552657357518,0.05278571428571433,10,10,cocaine
18,RF,0.9851418488717434,0.0031955785714285726,0.0565294487097528,0.019292857142857205,10,10,cocaine
19,RF,0.9198138961119635,0.012524943011463846,0.11191489182170461,0.06525436507936508,10,10,cocaine
20,RF,0.9588828305317795,0.0038700445416261753,0.06220968205694492,0.04188095238095239,10,10,cocaine
21,RF,0.9572833673919495,0.005176492857142857,0.07194784817590348,0.04493571428571429,10,10,cocaine
22,RF,0.9422494617859185,0.006952911111111111,0.08338411785892509,0.05146190476190476,10,10,cocaine
23,RF,0.9674234800313092,0.00464124324324324,0.06812667057212791,0.04263063063063063,10,10,control
24,RF,0.9171641622187747,0.010939538461538462,0.1045922485729151,0.0641346153846154,10,10,control
25,RF,0.9534046366387486,0.004465392392392391,0.06682359158555001,0.0478048048048048,10,10,control
26,RF,0.8628572049980436,0.026202341461461456,0.16187137319940625,0.1173837837837838,10,10,control
27,RF,0.9552367674355755,0.005230371371371374,0.07232130648274666,0.04817117117117117,10,10,control
28,RF,0.9636889903808272,0.004368675675675676,0.06609595808879448,0.04272972972972972,10,10,control
29,RF,0.9501285501859437,0.006017414414414411,0.07757199503953996,0.04788288288288287,10,10,control
30,RF,0.9603011075075291,0.005596623623623622,0.07481058497046807,0.04254354354354354,10,10,control
31,RF,0.9278022227788871,0.010241116116116113,0.10119839977053052,0.06400900900900901,10,10,control
32,RF,0.9667528059004532,0.00489497297297297,0.06996408344981708,0.03181981981981987,10,10,control
33,RF,0.9852520439708847,0.002728432432432433,0.05223439893817515,0.023639639639639685,10,10,control
34,RF,0.977724967415393,0.0021692002002002,0.046574673377278775,0.03363063063063063,10,10,control
35,RF,0.9385951271634104,0.007052360360360355,0.08397833268385575,0.04836036036036036,10,10,control
36,RF,0.9114071419975992,0.010313297297297292,0.1015544056025995,0.07088288288288289,10,10,control
37,RF,0.9582904833398358,0.007430828828828826,0.08620225535813333,0.050918918918918955,10,10,control
38,RF,0.9703648982755348,0.004068436936936937,0.0637843000818927,0.039522522522522543,10,10,control
39,RF,0.9536664971965693,0.005923234234234234,0.0769625508558171,0.04532432432432434,10,10,control
40,RF,0.9586247539889723,0.0015138108108108098,0.03890772173760383,0.019270270270270284,10,10,control
41,RF,0.9600098142536724,0.007259022022022021,0.08519989449536908,0.043528528528528565,10,10,control
42,RF,0.9996078678206696,5.377477477477479e-05,0.007333128580270142,0.0028558558558559495,10,10,control
43,RF,0.9415460239190274,0.013252324324324324,0.11511874010917737,0.057405405405405445,10,10,control
44,RF,0.8499150481533301,0.027418144144144136,0.16558425089405132,0.10117117117117118,10,10,control
45,RF,0.8994687748577948,0.009024567567567567,0.09499772401256551,0.04660360360360362,10,10,control
46,RF,0.9776500117182052,0.003893987612612611,0.06240182379235892,0.03513513513513515,10,10,control
47,RF,0.9420316988414957,0.005396664285714283,0.07346199211642904,0.040292857142857144,50,10,cocaine
48,RF,0.9357809670334826,0.01042095714285714,0.10208308940690002,0.05005714285714286,50,10,cocaine
49,RF,0.9218165848469917,0.0077418857142857135,0.08798798619292132,0.0557,50,10,cocaine
50,RF,0.9461494253827781,0.01108695714285714,0.10529462067388409,0.04772857142857146,50,10,cocaine
51,RF,0.9688158072792892,0.005012142857142857,0.07079648901706113,0.03264285714285716,50,10,cocaine
52,RF,0.9610599057620954,0.005589599999999999,0.07476362752033905,0.039785714285714285,50,10,cocaine
53,RF,0.9644446064065472,0.0026632214285714287,0.05160640879359296,0.03647857142857144,50,10,cocaine
54,RF,0.9355191373768885,0.013589992857142854,0.11657612473033599,0.06162142857142861,50,10,cocaine
55,RF,0.9477470886784413,0.00670675714285714,0.0818947931364207,0.05462857142857143,50,10,cocaine
56,RF,0.931593036258213,0.0072714714285714264,0.08527292318533138,0.057414285714285716,50,10,cocaine
57,RF,0.9863237257918979,0.002452042857142857,0.04951810635659301,0.025428571428571457,50,10,cocaine
58,RF,0.951277046836656,0.0059726214285714275,0.07728273693763328,0.04732142857142857,50,10,cocaine
59,RF,1.0,1.4810702198891654e-32,1.2169922842356749e-16,6.956241138666997e-17,50,10,cocaine
60,RF,0.9853907531831775,0.002003271428571429,0.04475792028872017,0.024542857142857206,50,10,cocaine
61,RF,0.9680745718534725,0.0021537571428571433,0.046408589106512854,0.03200000000000001,50,10,cocaine
62,RF,0.8988857050944952,0.0131485,0.1146669089144728,0.05294285714285714,50,10,cocaine
63,RF,0.9641497442899828,0.005226878571428571,0.07229715465651862,0.04436428571428572,50,10,cocaine
64,RF,0.9294228308350524,0.014989278571428568,0.12243070926621542,0.058435714285714334,50,10,cocaine
65,RF,0.9777504516454413,0.004785264285714285,0.06917560470074899,0.02057857142857148,50,10,cocaine
66,RF,0.908254058458023,0.014330571428571427,0.11971036474997236,0.06758571428571429,50,10,cocaine
67,RF,0.9493078743137862,0.004771261904761904,0.06907432160189417,0.04689682539682541,50,10,cocaine
68,RF,0.9537230831360738,0.0056079357142857136,0.07488615168564688,0.04376428571428572,50,10,cocaine
69,RF,0.950498134572423,0.00595980714285714,0.0771997871943773,0.04636428571428571,50,10,cocaine
70,RF,0.960220422946819,0.005667477477477474,0.07528265057420251,0.04787387387387387,50,10,control
71,RF,0.9159387843113095,0.011101365384615387,0.10536301715789742,0.06973076923076924,50,10,control
72,RF,0.934395443659585,0.006287108108108105,0.07929128645764366,0.05292792792792793,50,10,control
73,RF,0.866942966202978,0.025421720720720714,0.15944190390459062,0.11245945945945948,50,10,control
74,RF,0.9031588203636105,0.01131543243243243,0.10637402141703786,0.0638108108108108,50,10,control
75,RF,0.9282827551881686,0.008628495495495494,0.09288969531382635,0.05453153153153152,50,10,control
76,RF,0.9392162842567643,0.007334072072072073,0.08563919705410644,0.05621621621621621,50,10,control
77,RF,0.9603295590714757,0.00559261261261261,0.07478377238821675,0.044360360360360354,50,10,control
78,RF,0.9135349533349408,0.012264900900900896,0.11074701305633888,0.07214414414414412,50,10,control
79,RF,0.965904342881978,0.005019891891891891,0.0708511954161106,0.03450450450450456,50,10,control
