,fit,vac,mse,rmse,mae,aic,bic,model,group
0,all_LR,0.14350540208416995,0.13516244401544406,0.32656660629051526,0.3676444532635357,-9381.993514739183,-9369.087139016301,LR,all
1,cocaine_LR,0.1173124580675593,0.13693163632838884,0.3300639637480512,0.37004274932551895,-5068.085654114293,-5056.397172678009,LR,cocaine
2,control_LR,0.13352607105519132,0.13061600936778106,0.31755529315147585,0.361408369255308,-4349.920567491448,-4338.584380073284,LR,control
3,ind_LR,0.3743172971241805,0.06456756392891631,0.18801461258122062,0.2541014835236432,-305.624870373983,-300.1700947365583,LR,cocaine
4,ind_LR,0.313765071811971,0.12010638848147948,0.29105560218004906,0.3465636860397804,-212.17649054586056,-206.926544919292,LR,cocaine
5,ind_LR,0.28239365175290954,0.06325129563247057,0.20974230228895716,0.2514981026418899,-310.7129220695179,-305.2405251727289,LR,cocaine
6,ind_LR,0.599480822445531,0.08487138855160907,0.20635242777911228,0.2913269444311821,-259.9281521305254,-254.58249446160158,LR,cocaine
7,ind_LR,0.6138003984317153,0.060397925582059274,0.185287939293189,0.24575989416920588,-290.7140545264005,-285.40613382608547,LR,cocaine
8,ind_LR,0.26954217794302227,0.0990780003921248,0.2677168357017926,0.3147665808057215,-273.4217427578591,-267.846759272295,LR,cocaine
9,ind_LR,0.27624872059096117,0.05308607550625843,0.19009242353585337,0.23040415687712412,-333.62167091400227,-328.1318066572758,LR,cocaine
10,ind_LR,0.484127857498166,0.11096146887850535,0.2527318267961182,0.3331087943577974,-266.4243886138283,-260.80001990308347,LR,cocaine
11,ind_LR,0.2753324907109608,0.08961559429607911,0.25853538789791636,0.29935863825197884,-261.344852372824,-255.94389164123916,LR,cocaine
12,ind_LR,0.3243373741037888,0.0696228107071927,0.21884000602841702,0.2638613475050726,-273.1249546302565,-267.8361728319738,LR,cocaine
13,ind_LR,0.4214566045161423,0.1019551794697929,0.2754389799313211,0.3193042114814537,-279.11952542484306,-273.478962293633,LR,cocaine
14,ind_LR,0.44764925785860266,0.06845813030589688,0.21646350329282799,0.2616450464004562,-285.6055593565781,-280.2412969023297,LR,cocaine
15,ind_LR,0.7879076259742503,0.044855779832463895,0.18747581711681804,0.21179183136387458,-315.74319133460847,-310.4737333581492,LR,cocaine
16,ind_LR,0.42294763504982036,0.08591467158265001,0.22083364823857565,0.2931120461234066,-307.70888460425874,-302.02051043134156,LR,cocaine
17,ind_LR,0.49983790818817275,0.04045656935799953,0.16144583363311318,0.2011381847337783,-371.2805702896095,-365.756222420014,LR,cocaine
18,ind_LR,0.31019950066218116,0.08340370667761766,0.21633137173913383,0.28879699908000717,-261.79469028513677,-256.44903261621295,LR,cocaine
19,ind_LR,0.35112315530073923,0.09529620840371252,0.25811548306692306,0.308700839655017,-259.2857085615281,-253.84871081893792,LR,cocaine
20,ind_LR,0.4432944993088247,0.11041995468468396,0.2531766071658048,0.3322949814316851,-229.56722772678035,-224.24034953855622,LR,cocaine
21,ind_LR,0.5334308182761551,0.10144906019060325,0.2616429087905621,0.3185106908576277,-229.39624460529853,-224.14629897873,LR,cocaine
22,ind_LR,0.15389263631413708,0.1261599723613646,0.29016469442300885,0.35519005104502094,-213.37147831736075,-208.06355761704572,LR,cocaine
23,ind_LR,0.5960707599918477,0.035350268676813415,0.14200105874642371,0.18801667127362248,-323.5600300468956,-318.39009508955445,LR,cocaine
24,ind_LR,0.2480511592132515,0.09173696757128559,0.2506801572036975,0.3028811112817793,-275.4930918598836,-269.9687439902881,LR,cocaine
25,ind_LR,0.2858882587984608,0.07509102995083737,0.2308590455183042,0.27402742554503073,-285.97406689955665,-280.5370691569665,LR,cocaine
26,ind_LR,0.2182174638773582,0.1046777981533155,0.2689398147360429,0.32353948468976007,-181.06319532032128,-176.2497568257928,LR,control
27,ind_LR,0.37258496548316355,0.08697974327691121,0.2294764501462425,0.2949232837144453,-181.59808177350646,-176.9366150929338,LR,control
28,ind_LR,0.16969106327032213,0.07430919080024476,0.23406570113924927,0.27259712177542295,-196.1630890016947,-191.4754781579873,LR,control
29,ind_LR,0.10422190587075408,0.14261653000679853,0.31560886749157263,0.3776460379863643,-147.91247700346196,-143.19905935008276,LR,control
30,ind_LR,0.20279322430321312,0.09630147510379027,0.2729599334170281,0.3103247897023218,-194.92308961241542,-190.03778709943478,LR,control
31,ind_LR,0.47136729565084734,0.07262656111101871,0.2178016948373354,0.26949315596322426,-203.1715409143856,-198.43264520945155,LR,control
32,ind_LR,0.2893280082705605,0.0815947200205335,0.23632622282494736,0.28564789517959605,-234.06911884994778,-228.9613650667467,LR,control
33,ind_LR,0.3374558269502087,0.08835368747083346,0.2338195308047888,0.29724348179705046,-228.93510502491085,-223.80640864197517,LR,control
34,ind_LR,0.2668237070215089,0.10065466297189181,0.2630858048438272,0.3172611904596776,-191.16508294783927,-186.27978043485862,LR,control
35,ind_LR,0.46202305322166837,0.09115594899347819,0.24026445027427926,0.3019204348722991,-235.51835140137655,-230.30801102940038,LR,control
36,ind_LR,0.4838393916703486,0.09123694563032539,0.2441862631995602,0.30205454082057,-189.93792402548297,-185.14902571613808,LR,control
37,ind_LR,0.24832362070146086,0.08304444296357986,0.2439399501200478,0.28817432738462295,-195.0703485679333,-190.30629529858555,LR,control
38,ind_LR,0.3329999444752523,0.07028908090533242,0.20646225652284755,0.26512087979888044,-224.34193797240857,-219.43324337990157,LR,control
39,ind_LR,0.34143831479597264,0.0721806078406938,0.2213255739474307,0.2686644893555786,-266.74413743827625,-261.474679461817,LR,control
40,ind_LR,0.3582947644184461,0.11948456208410449,0.28038132142040084,0.34566539034752164,-197.83396983598854,-192.72621605278746,LR,control
41,ind_LR,0.2599323715080627,0.10850026651292957,0.26913449735744543,0.3293937863908935,-222.54227026575603,-217.29232463918748,LR,control
42,ind_LR,0.2614490279047056,0.09328690082176527,0.2521736889243658,0.30542904384122554,-228.46340678768487,-223.29347183034372,LR,control
43,ind_LR,0.43010002063009767,0.024945127176011064,0.11825772473203063,0.15794026458130006,-328.19691014829726,-323.1972908076367,LR,control
44,ind_LR,0.3656250843238986,0.12036421741147979,0.3017496185907726,0.34693546577350637,-188.66820189511807,-183.64648288208437,LR,control
45,ind_LR,0.5252206773886481,0.0450604872952448,0.18903174183105959,0.21227455640100817,-256.3789604924856,-251.51732689479897,LR,control
